dataset: CLL_SUB | 3 classes | 11340 features | deivce: cpu
Layer 1, Acc:0.4555555582046509, F:0.2893, Pr:0.4595, Auc:0.3481, Rec:0.4595
Layer 2, Acc:0.4555555582046509, F:0.2893, Pr:0.4595, Auc:0.3559, Rec:0.4595
Layer 3, Acc:0.46666666865348816, F:0.3372, Pr:0.4865, Auc:0.7322, Rec:0.4865
Layer 4, Acc:0.4555555582046509, F:0.2893, Pr:0.4595, Auc:0.7478, Rec:0.4595
Layer 5, Acc:0.5333333611488342, F:0.3794, Pr:0.5225, Auc:0.7696, Rec:0.5225
Layer 6, Acc:0.4555555582046509, F:0.2893, Pr:0.4595, Auc:0.7717, Rec:0.4595
Layer 7, Acc:0.5333333611488342, F:0.3794, Pr:0.5225, Auc:0.7268, Rec:0.5225
Layer 8, Acc:0.5555555820465088, F:0.4095, Pr:0.5586, Auc:0.7116, Rec:0.5586
Layer 8, max_Acc:55.555558, F:0.4095, Pr:0.5586, Auc:0.7116, Rec:0.5586
hd:8, dp:0.4, wd:0.05, layer 1 
epoch 1 | train ACC 42.8571 % | test ACC 34.4444 % | train loss 0.0126
epoch 11 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0101
epoch 21 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.01
epoch 31 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 41 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 51 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 61 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 71 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 81 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 91 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 101 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 111 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 121 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 131 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 141 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 151 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 161 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 171 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 181 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 191 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
1layers, Final test  ACC: 45.5556 %
hd:8, dp:0.4, wd:0.05, layer 2 
epoch 1 | train ACC 14.2857 % | test ACC 18.8889 % | train loss 0.0171
epoch 11 | train ACC 57.1429 % | test ACC 48.8889 % | train loss 0.0105
epoch 21 | train ACC 42.8571 % | test ACC 43.3333 % | train loss 0.0102
epoch 31 | train ACC 33.3333 % | test ACC 46.6667 % | train loss 0.01
epoch 41 | train ACC 57.1429 % | test ACC 48.8889 % | train loss 0.0099
epoch 51 | train ACC 47.619 % | test ACC 46.6667 % | train loss 0.0099
epoch 61 | train ACC 38.0952 % | test ACC 42.2222 % | train loss 0.0099
epoch 71 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 81 | train ACC 47.619 % | test ACC 44.4444 % | train loss 0.0099
epoch 91 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 101 | train ACC 52.381 % | test ACC 46.6667 % | train loss 0.0099
epoch 111 | train ACC 47.619 % | test ACC 41.1111 % | train loss 0.0099
epoch 121 | train ACC 42.8571 % | test ACC 43.3333 % | train loss 0.0099
epoch 131 | train ACC 38.0952 % | test ACC 45.5556 % | train loss 0.0099
epoch 141 | train ACC 47.619 % | test ACC 46.6667 % | train loss 0.0098
epoch 151 | train ACC 52.381 % | test ACC 35.5556 % | train loss 0.0098
epoch 161 | train ACC 47.619 % | test ACC 44.4444 % | train loss 0.0099
epoch 171 | train ACC 42.8571 % | test ACC 50.0 % | train loss 0.0098
epoch 181 | train ACC 52.381 % | test ACC 46.6667 % | train loss 0.0098
epoch 191 | train ACC 47.619 % | test ACC 44.4444 % | train loss 0.0098
2layers, Final test  ACC: 45.5556 %
hd:8, dp:0.4, wd:0.05, layer 3 
epoch 1 | train ACC 14.2857 % | test ACC 25.5556 % | train loss 0.0171
epoch 11 | train ACC 47.619 % | test ACC 41.1111 % | train loss 0.0105
epoch 21 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0102
epoch 31 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.01
epoch 41 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 51 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0098
epoch 61 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0098
epoch 71 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0096
epoch 81 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 91 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0096
epoch 101 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0095
epoch 111 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0098
epoch 121 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0094
epoch 131 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0094
epoch 141 | train ACC 47.619 % | test ACC 41.1111 % | train loss 0.0093
epoch 151 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0089
epoch 161 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0096
epoch 171 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0088
epoch 181 | train ACC 47.619 % | test ACC 43.3333 % | train loss 0.01
epoch 191 | train ACC 47.619 % | test ACC 44.4444 % | train loss 0.0095
3layers, Final test  ACC: 45.5556 %
hd:8, dp:0.4, wd:0.05, layer 4 
epoch 1 | train ACC 42.8571 % | test ACC 33.3333 % | train loss 0.0171
epoch 11 | train ACC 42.8571 % | test ACC 44.4444 % | train loss 0.0105
epoch 21 | train ACC 42.8571 % | test ACC 44.4444 % | train loss 0.0102
epoch 31 | train ACC 42.8571 % | test ACC 44.4444 % | train loss 0.01
epoch 41 | train ACC 23.8095 % | test ACC 41.1111 % | train loss 0.0098
epoch 51 | train ACC 52.381 % | test ACC 47.7778 % | train loss 0.0097
epoch 61 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0096
epoch 71 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0095
epoch 81 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0092
epoch 91 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0093
epoch 101 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0088
epoch 111 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0088
epoch 121 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0088
epoch 131 | train ACC 47.619 % | test ACC 43.3333 % | train loss 0.0089
epoch 141 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.01
epoch 151 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0096
epoch 161 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0094
epoch 171 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0086
epoch 181 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0094
epoch 191 | train ACC 52.381 % | test ACC 44.4444 % | train loss 0.0086
4layers, Final test  ACC: 45.5556 %
hd:8, dp:0.4, wd:0.05, layer 5 
epoch 1 | train ACC 33.3333 % | test ACC 25.5556 % | train loss 0.0171
epoch 11 | train ACC 42.8571 % | test ACC 42.2222 % | train loss 0.0105
epoch 21 | train ACC 52.381 % | test ACC 45.5556 % | train loss 0.0102
epoch 31 | train ACC 42.8571 % | test ACC 43.3333 % | train loss 0.01
epoch 41 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 51 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0098
epoch 61 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0091
epoch 71 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0093
epoch 81 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0091
epoch 91 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0096
epoch 101 | train ACC 52.381 % | test ACC 48.8889 % | train loss 0.0092
epoch 111 | train ACC 42.8571 % | test ACC 44.4444 % | train loss 0.0092
epoch 121 | train ACC 57.1429 % | test ACC 42.2222 % | train loss 0.0088
epoch 131 | train ACC 42.8571 % | test ACC 46.6667 % | train loss 0.009
epoch 141 | train ACC 57.1429 % | test ACC 42.2222 % | train loss 0.0097
epoch 151 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0081
epoch 161 | train ACC 47.619 % | test ACC 50.0 % | train loss 0.0105
epoch 171 | train ACC 52.381 % | test ACC 50.0 % | train loss 0.0099
epoch 181 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0093
epoch 191 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0089
5layers, Final test  ACC: 45.5556 %
hd:8, dp:0.4, wd:0.05, layer 6 
epoch 1 | train ACC 9.5238 % | test ACC 32.2222 % | train loss 0.0171
epoch 11 | train ACC 42.8571 % | test ACC 44.4444 % | train loss 0.0106
epoch 21 | train ACC 42.8571 % | test ACC 44.4444 % | train loss 0.0102
epoch 31 | train ACC 42.8571 % | test ACC 44.4444 % | train loss 0.01
epoch 41 | train ACC 42.8571 % | test ACC 45.5556 % | train loss 0.0098
epoch 51 | train ACC 42.8571 % | test ACC 44.4444 % | train loss 0.0092
epoch 61 | train ACC 42.8571 % | test ACC 44.4444 % | train loss 0.0096
epoch 71 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0098
epoch 81 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0093
epoch 91 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0082
epoch 101 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.009
epoch 111 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0101
epoch 121 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0091
epoch 131 | train ACC 47.619 % | test ACC 46.6667 % | train loss 0.0098
epoch 141 | train ACC 47.619 % | test ACC 47.7778 % | train loss 0.0089
epoch 151 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0088
epoch 161 | train ACC 57.1429 % | test ACC 48.8889 % | train loss 0.0083
epoch 171 | train ACC 47.619 % | test ACC 47.7778 % | train loss 0.0101
epoch 181 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0085
epoch 191 | train ACC 57.1429 % | test ACC 52.2222 % | train loss 0.0091
6layers, Final test  ACC: 55.5556 %
hd:8, dp:0.4, wd:0.05, layer 7 
epoch 1 | train ACC 52.381 % | test ACC 22.2222 % | train loss 0.0171
epoch 11 | train ACC 38.0952 % | test ACC 45.5556 % | train loss 0.0105
epoch 21 | train ACC 66.6667 % | test ACC 47.7778 % | train loss 0.0102
epoch 31 | train ACC 42.8571 % | test ACC 38.8889 % | train loss 0.01
epoch 41 | train ACC 38.0952 % | test ACC 46.6667 % | train loss 0.0104
epoch 51 | train ACC 47.619 % | test ACC 46.6667 % | train loss 0.0088
epoch 61 | train ACC 57.1429 % | test ACC 44.4444 % | train loss 0.0084
epoch 71 | train ACC 42.8571 % | test ACC 53.3333 % | train loss 0.0089
epoch 81 | train ACC 23.8095 % | test ACC 46.6667 % | train loss 0.0082
epoch 91 | train ACC 33.3333 % | test ACC 43.3333 % | train loss 0.0088
epoch 101 | train ACC 33.3333 % | test ACC 46.6667 % | train loss 0.009
epoch 111 | train ACC 47.619 % | test ACC 53.3333 % | train loss 0.0082
epoch 121 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0083
epoch 131 | train ACC 47.619 % | test ACC 53.3333 % | train loss 0.0084
epoch 141 | train ACC 47.619 % | test ACC 55.5556 % | train loss 0.0083
epoch 151 | train ACC 42.8571 % | test ACC 45.5556 % | train loss 0.0083
epoch 161 | train ACC 33.3333 % | test ACC 36.6667 % | train loss 0.0113
epoch 171 | train ACC 14.2857 % | test ACC 30.0 % | train loss 0.0111
epoch 181 | train ACC 33.3333 % | test ACC 37.7778 % | train loss 0.0106
epoch 191 | train ACC 38.0952 % | test ACC 46.6667 % | train loss 0.0098
7layers, Final test  ACC: 53.3333 %
hd:8, dp:0.4, wd:0.05, layer 8 
epoch 1 | train ACC 42.8571 % | test ACC 47.7778 % | train loss 0.0171
epoch 11 | train ACC 33.3333 % | test ACC 38.8889 % | train loss 0.0105
epoch 21 | train ACC 42.8571 % | test ACC 42.2222 % | train loss 0.0102
epoch 31 | train ACC 19.0476 % | test ACC 45.5556 % | train loss 0.01
epoch 41 | train ACC 47.619 % | test ACC 42.2222 % | train loss 0.0095
epoch 51 | train ACC 52.381 % | test ACC 42.2222 % | train loss 0.0088
epoch 61 | train ACC 33.3333 % | test ACC 43.3333 % | train loss 0.0094
epoch 71 | train ACC 38.0952 % | test ACC 43.3333 % | train loss 0.0092
epoch 81 | train ACC 42.8571 % | test ACC 44.4444 % | train loss 0.0087
epoch 91 | train ACC 57.1429 % | test ACC 46.6667 % | train loss 0.0081
epoch 101 | train ACC 66.6667 % | test ACC 52.2222 % | train loss 0.01
epoch 111 | train ACC 33.3333 % | test ACC 46.6667 % | train loss 0.0096
epoch 121 | train ACC 47.619 % | test ACC 50.0 % | train loss 0.0098
epoch 131 | train ACC 52.381 % | test ACC 44.4444 % | train loss 0.0085
epoch 141 | train ACC 42.8571 % | test ACC 45.5556 % | train loss 0.009
epoch 151 | train ACC 47.619 % | test ACC 53.3333 % | train loss 0.0087
epoch 161 | train ACC 52.381 % | test ACC 47.7778 % | train loss 0.0084
epoch 171 | train ACC 57.1429 % | test ACC 54.4444 % | train loss 0.0102
epoch 181 | train ACC 33.3333 % | test ACC 55.5556 % | train loss 0.0085
epoch 191 | train ACC 33.3333 % | test ACC 45.5556 % | train loss 0.0096
8layers, Final test  ACC: 45.5556 %
Layer 1, Acc:0.4555555582046509, F:0.2893, Pr:0.4595, Auc:0.3603, Rec:0.4595
Layer 2, Acc:0.4555555582046509, F:0.2893, Pr:0.4595, Auc:0.3259, Rec:0.4595
Layer 3, Acc:0.4555555582046509, F:0.2893, Pr:0.4595, Auc:0.5751, Rec:0.4595
Layer 4, Acc:0.4555555582046509, F:0.2893, Pr:0.4595, Auc:0.7266, Rec:0.4595
Layer 5, Acc:0.4555555582046509, F:0.3076, Pr:0.4685, Auc:0.7383, Rec:0.4685
Layer 6, Acc:0.5555555820465088, F:0.4095, Pr:0.5586, Auc:0.7268, Rec:0.5586
Layer 7, Acc:0.5333333611488342, F:0.3794, Pr:0.5225, Auc:0.7257, Rec:0.5225
Layer 8, Acc:0.4555555582046509, F:0.2893, Pr:0.4595, Auc:0.6831, Rec:0.4595
Layer 6, max_Acc:55.555558, F:0.4095, Pr:0.5586, Auc:0.7268, Rec:0.5586
hd:8, dp:0.5, wd:0.0005, layer 1 
epoch 1 | train ACC 28.5714 % | test ACC 33.3333 % | train loss 0.0099
epoch 11 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0098
epoch 21 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0097
epoch 31 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0097
epoch 41 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0097
epoch 51 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0097
epoch 61 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0097
epoch 71 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0097
epoch 81 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0097
epoch 91 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0097
epoch 101 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0097
epoch 111 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0097
epoch 121 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0097
epoch 131 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0097
epoch 141 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0097
epoch 151 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0097
epoch 161 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0097
epoch 171 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0097
epoch 181 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0097
epoch 191 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0097
1layers, Final test  ACC: 45.5556 %
hd:8, dp:0.5, wd:0.0005, layer 2 
epoch 1 | train ACC 57.1429 % | test ACC 35.5556 % | train loss 0.01
epoch 11 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0096
epoch 21 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0097
epoch 31 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0091
epoch 41 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0093
epoch 51 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0093
epoch 61 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.009
epoch 71 | train ACC 52.381 % | test ACC 44.4444 % | train loss 0.0089
epoch 81 | train ACC 57.1429 % | test ACC 42.2222 % | train loss 0.0093
epoch 91 | train ACC 42.8571 % | test ACC 51.1111 % | train loss 0.009
epoch 101 | train ACC 47.619 % | test ACC 43.3333 % | train loss 0.0092
epoch 111 | train ACC 47.619 % | test ACC 43.3333 % | train loss 0.0088
epoch 121 | train ACC 38.0952 % | test ACC 45.5556 % | train loss 0.0088
epoch 131 | train ACC 42.8571 % | test ACC 46.6667 % | train loss 0.0095
epoch 141 | train ACC 47.619 % | test ACC 42.2222 % | train loss 0.009
epoch 151 | train ACC 47.619 % | test ACC 44.4444 % | train loss 0.009
epoch 161 | train ACC 47.619 % | test ACC 47.7778 % | train loss 0.0093
epoch 171 | train ACC 42.8571 % | test ACC 44.4444 % | train loss 0.0092
epoch 181 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0092
epoch 191 | train ACC 52.381 % | test ACC 42.2222 % | train loss 0.0087
2layers, Final test  ACC: 45.5556 %
hd:8, dp:0.5, wd:0.0005, layer 3 
epoch 1 | train ACC 23.8095 % | test ACC 27.7778 % | train loss 0.01
epoch 11 | train ACC 47.619 % | test ACC 40.0 % | train loss 0.0098
epoch 21 | train ACC 23.8095 % | test ACC 43.3333 % | train loss 0.0099
epoch 31 | train ACC 33.3333 % | test ACC 45.5556 % | train loss 0.0096
epoch 41 | train ACC 52.381 % | test ACC 35.5556 % | train loss 0.0094
epoch 51 | train ACC 47.619 % | test ACC 41.1111 % | train loss 0.0096
epoch 61 | train ACC 47.619 % | test ACC 40.0 % | train loss 0.0095
epoch 71 | train ACC 57.1429 % | test ACC 38.8889 % | train loss 0.0093
epoch 81 | train ACC 57.1429 % | test ACC 45.5556 % | train loss 0.0087
epoch 91 | train ACC 28.5714 % | test ACC 46.6667 % | train loss 0.0096
epoch 101 | train ACC 38.0952 % | test ACC 43.3333 % | train loss 0.0089
epoch 111 | train ACC 52.381 % | test ACC 45.5556 % | train loss 0.0087
epoch 121 | train ACC 57.1429 % | test ACC 40.0 % | train loss 0.0082
epoch 131 | train ACC 57.1429 % | test ACC 47.7778 % | train loss 0.0082
epoch 141 | train ACC 52.381 % | test ACC 46.6667 % | train loss 0.008
epoch 151 | train ACC 47.619 % | test ACC 44.4444 % | train loss 0.0086
epoch 161 | train ACC 47.619 % | test ACC 47.7778 % | train loss 0.0084
epoch 171 | train ACC 57.1429 % | test ACC 48.8889 % | train loss 0.0078
epoch 181 | train ACC 66.6667 % | test ACC 38.8889 % | train loss 0.0084
epoch 191 | train ACC 33.3333 % | test ACC 51.1111 % | train loss 0.0077
3layers, Final test  ACC: 55.5556 %
hd:8, dp:0.5, wd:0.0005, layer 4 
epoch 1 | train ACC 38.0952 % | test ACC 22.2222 % | train loss 0.01
epoch 11 | train ACC 33.3333 % | test ACC 41.1111 % | train loss 0.0099
epoch 21 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0095
epoch 31 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0095
epoch 41 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0089
epoch 51 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0095
epoch 61 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0085
epoch 71 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0088
epoch 81 | train ACC 52.381 % | test ACC 45.5556 % | train loss 0.0084
epoch 91 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0082
epoch 101 | train ACC 52.381 % | test ACC 48.8889 % | train loss 0.0082
epoch 111 | train ACC 52.381 % | test ACC 47.7778 % | train loss 0.0077
epoch 121 | train ACC 57.1429 % | test ACC 53.3333 % | train loss 0.0075
epoch 131 | train ACC 57.1429 % | test ACC 51.1111 % | train loss 0.008
epoch 141 | train ACC 57.1429 % | test ACC 54.4444 % | train loss 0.0072
epoch 151 | train ACC 57.1429 % | test ACC 54.4444 % | train loss 0.0072
epoch 161 | train ACC 57.1429 % | test ACC 52.2222 % | train loss 0.0071
epoch 171 | train ACC 47.619 % | test ACC 51.1111 % | train loss 0.0073
epoch 181 | train ACC 47.619 % | test ACC 48.8889 % | train loss 0.0069
epoch 191 | train ACC 47.619 % | test ACC 47.7778 % | train loss 0.0066
4layers, Final test  ACC: 55.5556 %
hd:8, dp:0.5, wd:0.0005, layer 5 
epoch 1 | train ACC 33.3333 % | test ACC 26.6667 % | train loss 0.01
epoch 11 | train ACC 38.0952 % | test ACC 37.7778 % | train loss 0.0099
epoch 21 | train ACC 52.381 % | test ACC 48.8889 % | train loss 0.0099
epoch 31 | train ACC 52.381 % | test ACC 45.5556 % | train loss 0.0099
epoch 41 | train ACC 42.8571 % | test ACC 43.3333 % | train loss 0.0097
epoch 51 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0086
epoch 61 | train ACC 66.6667 % | test ACC 46.6667 % | train loss 0.0083
epoch 71 | train ACC 57.1429 % | test ACC 41.1111 % | train loss 0.0078
epoch 81 | train ACC 28.5714 % | test ACC 41.1111 % | train loss 0.0091
epoch 91 | train ACC 47.619 % | test ACC 56.6667 % | train loss 0.0081
epoch 101 | train ACC 61.9048 % | test ACC 51.1111 % | train loss 0.0074
epoch 111 | train ACC 57.1429 % | test ACC 51.1111 % | train loss 0.0068
epoch 121 | train ACC 52.381 % | test ACC 53.3333 % | train loss 0.0068
